file_name,plan_date,rating
2001太空漫游 2001: A Space Odyssey,上映日期:,8.8
可可西里,2004-10-01(中国大陆),8.8
魂断蓝桥 Waterloo Bridge,上映日期:,8.8
海洋 Océans,2011-08-12(中国大陆),9.1
城市之光 City Lights,语言:,9.3
燃情岁月 Legends of the Fall,语言:,8.8
牯岭街少年杀人事件 牯嶺街少年殺人事件,1991-07-27(中国台湾),8.8
穿越时空的少女 時をかける少女,制片国家/地区:,8.6
色，戒,上映日期:,8.5
新龙门客栈 新龍門客棧,语言:,8.6
青蛇,语言:,8.5
无耻混蛋 Inglourious Basterds,2009-05-20(戛纳电影节),8.6
源代码 Source Code,上映日期:,8.5
完美陌生人 Perfetti sconosciuti,2018-05-25(中国大陆),8.5
阿飞正传 阿飛正傳,上映日期:,8.5
遗愿清单 The Bucket List,上映日期:,8.6
大佛普拉斯,2017-10-13(中国台湾),8.7
血钻 Blood Diamond,上映日期:,8.7
九品芝麻官,上映日期:,8.5
谍影重重2 The Bourne Supremacy,语言:,8.7
香水 Perfume: The Story of a Murderer,上映日期:,8.5
地球上的星星 Taare Zameen Par,语言:,8.9
哈利·波特与火焰杯 Harry Potter and the Goblet of Fire,上映日期:,8.5
疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,语言:,8.6
战争之王 Lord of War,2005-09-16(美国),8.6
谍影重重 The Bourne Identity,语言:,8.6
步履不停 歩いても 歩いても,2008-06-28(日本),8.8
彗星来的那一夜 Coherence,上映日期:,8.5
猜火车 Trainspotting,1996-02-23(英国),8.5
朗读者 The Reader,2008-12-10(纽约首映),8.6
浪潮 Die Welle,2008-03-13(德国),8.7
波西米亚狂想曲 Bohemian Rhapsody,语言:,8.7
小萝莉的猴神大叔 Bajrangi Bhaijaan,上映日期:,8.4
再次出发之纽约遇见你 Begin Again,上映日期:,8.6
东京物语 東京物語,1953-11-03(日本),9.2
驴得水,2016-10-28(中国大陆),8.3
聚焦 Spotlight,上映日期:,8.8
追随 Following,上映日期:,8.9
千钧一发 Gattaca,上映日期:,8.8
我爱你 그대를 사랑합니다,上映日期:,9.0
一次别离 جدایی نادر از سیمین,2012-11-13(中国大陆),8.7
黑鹰坠落 Black Hawk Down,语言:,8.7
黑客帝国2：重装上阵 The Matrix Reloaded,2003-07-18(中国大陆),8.6
网络谜踪 Searching,语言:,8.6
四个春天,2017-12-30(UCCA艺术放映),8.9
发条橙 A Clockwork Orange,上映日期:,8.6
E.T. 外星人 E.T.: The Extra-Terrestrial,1982-05-26(戛纳电影节),8.6
